input,output,category_encoded
Nearby factories ka smoke hamare locality mein air pollution cause kar raha hai.,environment,4
Hamare area ka public park properly maintained nahi hai.,urban development,8
Visually impaired passengers ke liye audio announcements nahi hain.,accessibility,0
Hamari street ke paas municipal water pipeline leak ho rahi hai.,water related,9
The local self-help groups are not receiving timely financial support.,rural livelihood,7
Please meri complaint register karein ki local agriculture office farmers ko proper guidance nahi de raha hai.,agriculture,1
There is no proper sanitation facility for students.,education,2
हमारे मोहल्ले में पीने के पानी की कमी है।,water related,9
किसानों के लिए कृषि मशीनरी की उपलब्धता बहुत कम है।,agriculture,1
There is no proper street lighting near the public road.,energy,3
ग्रामीण कारीगरों के लिए अपने उत्पाद बेचने के पर्याप्त अवसर नहीं हैं।,rural livelihood,7
School mein basic science laboratory equipment available nahi hai.,education,2
Students are not getting enough textbooks for their classes.,education,2
Crop damage compensation has not been provided to affected farmers.,agriculture,1
Hamare area ka community centre poor condition mein hai.,urban development,8
Local park mein litter aur waste bahut zyada pada hua hai.,environment,4
Farmers ko crop insurance ka payment time par nahi mil raha hai.,agriculture,1
स्कूल में छात्रों की संख्या के अनुसार पर्याप्त शिक्षक नहीं हैं।,education,2
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि हमारे क्षेत्र में नियमित पानी की आपूर्ति नहीं होती है।,water related,9
I am facing an issue because ambulance services are not available when urgently needed.,healthcare,5
Public building mein stairs use na kar sakne wale logon ke liye lift nahi hai.,accessibility,0
हमारे क्षेत्र में पानी का दबाव बहुत कम है।,water related,9
Hamare area mein electricity supply bahut unreliable hai.,energy,3
Hamare neighbourhood ki street infrastructure properly maintained nahi hai.,urban development,8
People are burning garbage in the open and causing air pollution.,environment,4
The school does not provide adequate facilities for students with disabilities.,education,2
हमारे क्षेत्र में कचरा संग्रहण की सेवा नियमित नहीं है।,environment,4
Rural youth ke liye nearby vocational training centre available nahi hai.,rural livelihood,7
यह एक गंभीर समस्या है कि छात्रों के लिए स्कूल में उचित पुस्तकालय की सुविधा नहीं है।,education,2
The playground in our locality needs urgent repair.,urban development,8
स्थानीय पार्क में कचरा और गंदगी फैली हुई है।,environment,4
बिजली का एक खराब खंभा अभी तक ठीक नहीं किया गया है।,energy,3
The local administration has not addressed the shortage of livelihood opportunities in our village.,rural livelihood,7
सड़क के किनारे बहुत अधिक प्लास्टिक कचरा पड़ा है।,environment,4
Please meri complaint register karein ki small rural businesses ko adequate government support nahi mil raha hai.,rural livelihood,7
The government procurement centre is not accepting crops regularly.,agriculture,1
किसानों के लिए कृषि मशीनरी की उपलब्धता बहुत कम है।,agriculture,1
Residents are facing an accessibility problem because there is no wheelchair ramp at the entrance of the government building.,accessibility,0
Farmers ke liye agricultural machinery ki availability bahut kam hai.,agriculture,1
Local healthcare centre apne listed working hours mein open nahi rehta.,healthcare,5
Construction waste has been dumped on the roadside.,environment,4
यह एक गंभीर समस्या है कि छात्रों के लिए स्कूल में उचित पुस्तकालय की सुविधा नहीं है।,education,2
Hamare area mein supply hone wale water mein visible dirt hai.,water related,9
Hamare community ka electricity connection adequate nahi hai.,energy,3
Local administration ne hamare village mein livelihood opportunities ki shortage solve nahi ki hai.,rural livelihood,7
ग्रामीण श्रमिकों को सरकारी आजीविका योजनाओं की जानकारी समय पर नहीं मिलती है।,rural livelihood,7
स्कूल में छात्रों के लिए कंप्यूटर की सुविधा बहुत सीमित है।,education,2
यह एक गंभीर ग्रामीण आजीविका संबंधी समस्या है: हमारे गांव में लोगों के लिए रोजगार के पर्याप्त अवसर नहीं हैं।,rural livelihood,7
Hamare village ki women ke liye income earn karne ke opportunities limited hain.,rural livelihood,7
कीटों के हमले से फसल खराब हो रही है और समय पर सहायता नहीं मिल रही है।,agriculture,1
Ye ek serious agriculture-related issue hai: mere area ke farmers ko irrigation ke liye regular water supply nahi mil rahi hai.,agriculture,1
Ek damaged electricity pole abhi tak repair nahi hua hai.,energy,3
"The streetlights are switched off at night, making the road unsafe.",energy,3
Please meri complaint register karein ki road par obstacles hain jiski wajah se wheelchair users ko pass hone mein problem hoti hai.,accessibility,0
खुले बिजली के तार स्थानीय लोगों के लिए सुरक्षा का खतरा पैदा कर रहे हैं।,energy,3
Health centre mein elderly patients ke liye adequate facilities nahi hain.,healthcare,5
बार-बार अनुरोध करने के बावजूद संबंधित विभाग ने समस्या का समाधान नहीं किया है।,public administration,6
Ek damaged electricity pole abhi tak repair nahi hua hai.,energy,3
Hamare locality mein water pressure bahut low hai.,water related,9
Hamare village ki women ke liye income earn karne ke opportunities limited hain.,rural livelihood,7
The public service counter is too high for wheelchair users.,accessibility,0
The local health centre does not have basic medical equipment.,healthcare,5
कृपया मेरी शिकायत दर्ज करें कि मेरे क्षेत्र के किसानों को सिंचाई के लिए नियमित पानी नहीं मिल रहा है।,agriculture,1
Agriculture ke liye electricity supply frequently interrupt hoti hai.,agriculture,1
हमारे गांव की महिला उद्यमियों को उचित संस्थागत सहायता नहीं मिल रही है।,rural livelihood,7
The local healthcare centre is closed during its listed working hours.,healthcare,5
Local mandi mein farmers ke liye proper facilities nahi hain.,agriculture,1
Repeated requests ke baad bhi concerned department ne issue resolve nahi kiya hai.,public administration,6
The application submitted to the government office has not been processed.,public administration,6
Local civic facility mein adequate accessibility support available nahi hai.,accessibility,0
Main complaint register karna chahta hoon ki hamare locality ka public seating area damaged hai.,urban development,8
Hamare village mein canal water supply irregular hai.,agriculture,1
There is no tactile path for visually impaired pedestrians.,accessibility,0
School ka playground damaged hai aur safely use nahi ho sakta.,education,2
Hamare neighbourhood mein voltage bahut low aa raha hai.,energy,3
Officials at the public office are frequently unavailable during working hours.,public administration,6
Health centre mein patients ke liye enough beds nahi hain.,healthcare,5
Hospital laboratory time par reports provide nahi karti hai.,healthcare,5
"Agricultural fields ke around drainage system poor hai, jiski wajah se waterlogging hoti hai.",agriculture,1
Hamare village ki women entrepreneurs ko proper institutional support nahi mil raha hai.,rural livelihood,7
Rural workers are not getting information about available government livelihood schemes.,rural livelihood,7
दिव्यांग छात्रों के लिए स्कूल में पर्याप्त सुविधाएं नहीं हैं।,education,2
I want to report that there is no wheelchair ramp at the entrance of the government building.,accessibility,0
Main complaint register karna chahta hoon ki hamari street se garbage regularly collect nahi kiya jata.,environment,4
The public facility in our area does not have a reliable power supply.,energy,3
बार-बार अनुरोध करने के बावजूद संबंधित विभाग ने समस्या का समाधान नहीं किया है।,public administration,6
यह एक गंभीर समस्या है कि छात्रों के लिए स्कूल में उचित पुस्तकालय की सुविधा नहीं है।,education,2
मरीजों को वे दवाइयां बाहर से खरीदने के लिए कहा जाता है जो अस्पताल में उपलब्ध होनी चाहिए।,healthcare,5
The school does not have adequate desks and benches for students.,education,2
Farmers are not getting fair prices for their crops at the mandi.,agriculture,1
The footpath in our locality is broken and difficult to use.,urban development,8
Teachers are frequently absent from the school without proper arrangement.,education,2
मैं इस समस्या से परेशान हूं क्योंकि निर्माण कार्य के कारण बहुत अधिक धूल प्रदूषण हो रहा है।,environment,4
सड़क निर्माण का काम कई महीनों से अधूरा पड़ा है।,urban development,8
खराब जल निकासी के कारण बारिश का पानी सड़कों पर जमा हो जाता है।,urban development,8
Main complaint register karna chahta hoon ki mere area ke farmers ko irrigation ke liye regular water supply nahi mil rahi hai.,agriculture,1
The drainage system around agricultural fields is poor and causes waterlogging.,agriculture,1
The residents are facing an issue because the electricity supply in the school is unreliable and affects classes.,education,2
दृष्टिबाधित यात्रियों के लिए ऑडियो घोषणा की सुविधा नहीं है।,accessibility,0
सरकारी कार्यालय में दिव्यांग लोगों के लिए सुलभ प्रवेश द्वार नहीं है।,accessibility,0
Government office staff citizen queries ka response nahi karta.,public administration,6
दृष्टिबाधित यात्रियों के लिए ऑडियो घोषणा की सुविधा नहीं है।,accessibility,0
I want to complain that the school does not have clean drinking water for students.,education,2
Main complaint register karna chahta hoon ki hospital ki diagnostic testing facility properly work nahi kar rahi hai.,healthcare,5
खुले में कचरा जलाने के कारण हमारे क्षेत्र की हवा बहुत खराब हो गई है।,environment,4
Ye ek serious environmental issue hai: hamari street se garbage regularly collect nahi kiya jata.,environment,4
कृपया मेरी शिकायत दर्ज करें कि हमारे क्षेत्र की कई स्ट्रीट लाइटें काम नहीं कर रही हैं।,energy,3
विभाग में दर्ज की गई बार-बार की शिकायतों का समाधान नहीं किया गया है।,public administration,6
हमारे क्षेत्र में कई दिनों से पानी की आपूर्ति नहीं हुई है।,water related,9
The toilets in the school are dirty and not maintained.,education,2
हमारे गांव की महिलाओं के लिए आय अर्जित करने के अवसर सीमित हैं।,rural livelihood,7
स्थानीय प्रशासन ने हमारे गांव में आजीविका के अवसरों की कमी का समाधान नहीं किया है।,rural livelihood,7
Local park mein litter aur waste bahut zyada pada hua hai.,environment,4
"लोग खुले में कचरा जला रहे हैं, जिससे वायु प्रदूषण हो रहा है।",environment,4
Local students ko problem ho rahi hai kyunki classes bahut overcrowded rooms mein conduct ho rahi hain.,education,2
Hamare village ki women ke liye income earn karne ke opportunities limited hain.,rural livelihood,7
Hospital mein disabled people ke liye proper facilities nahi hain.,healthcare,5
कृषि के लिए बिजली की आपूर्ति बार-बार बाधित होती है।,agriculture,1
हमारे क्षेत्र के खेल मैदान की तुरंत मरम्मत की जरूरत है।,urban development,8
The local park is filled with litter and waste.,environment,4
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related,9
हमारे गांव में नहर से पानी की आपूर्ति अनियमित है।,agriculture,1
I am facing an issue because the local administration has not responded to requests from residents.,public administration,6
Residents are forced to buy water because the municipal supply is inadequate.,water related,9
Please meri complaint register karein ki hamare locality mein excessive garbage dumping ho rahi hai.,environment,4
People in our area are migrating because there are not enough local jobs.,rural livelihood,7
Newly developed residential area mein basic civic infrastructure ki shortage hai.,urban development,8
हमारे क्षेत्र का सामुदायिक केंद्र खराब स्थिति में है।,urban development,8
सड़क के पास बिजली का ढीला तार लटक रहा है।,energy,3
Water tanker scheduled time par nahi aata hai.,water related,9
किसानों को सरकारी कृषि योजनाओं की जानकारी समय पर नहीं मिलती है।,agriculture,1
नगर निगम की पाइपलाइन से गंदा पानी आ रहा है।,water related,9
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि बार-बार शिकायत करने के बावजूद बिजली की कटौती जारी है।,energy,3
The hand pump in our locality is broken and has not been repaired.,water related,9
Teachers are frequently absent from the school without proper arrangement.,education,2
"खेतों के आसपास जल निकासी की व्यवस्था खराब है, जिससे जलभराव होता है।",agriculture,1
The application submitted to the government office has not been processed.,public administration,6
स्थानीय प्रशासन ने हमारे गांव में आजीविका के अवसरों की कमी का समाधान नहीं किया है।,rural livelihood,7
Main complaint register karna chahta hoon ki local water body mein sewage aur waste discharge kiya ja raha hai.,environment,4
सरकारी रोजगार कार्यक्रम में पात्र श्रमिकों का सही तरीके से पंजीकरण नहीं हो रहा है।,rural livelihood,7
Government procurement centre regularly crops accept nahi kar raha hai.,agriculture,1
स्थानीय पार्क में कचरा और गंदगी फैली हुई है।,environment,4
Hamare area mein civic complaint submit karne ka clear process nahi hai.,public administration,6
किसानों को फसल बीमा का भुगतान समय पर नहीं मिल रहा है।,agriculture,1
Students are not receiving proper mid-day meals at the school.,education,2
Hamare area ka footpath wheelchair users ke liye accessible nahi hai.,accessibility,0
Hamare area mein supply hone wale water mein visible dirt hai.,water related,9
The pedestrian crossing does not have an accessible signal.,accessibility,0
The air quality has become very poor because of open waste burning.,environment,4
हमारे क्षेत्र का ट्रांसफॉर्मर ओवरलोड है और बार-बार ट्रिप करता है।,energy,3
पात्र छात्रों को छात्रवृत्ति की राशि अभी तक नहीं मिली है।,education,2
Main is problem se pareshan hoon kyunki hamare locality ki roads bahut damaged hain aur repair ki zarurat hai.,urban development,8
अस्पताल में मरीजों के लिए उचित कतार व्यवस्था नहीं है।,healthcare,5
Repeated complaints submitted to the department have not been addressed.,public administration,6
बाजार के पास कचरे के बहुत सारे ढेर लगे हुए हैं।,environment,4
पात्र छात्रों को छात्रवृत्ति की राशि अभी तक नहीं मिली है।,education,2
कीटों के हमले से फसल खराब हो रही है और समय पर सहायता नहीं मिल रही है।,agriculture,1
हमारे क्षेत्र में पेड़ों को काटा जा रहा है और उनकी जगह नए पेड़ नहीं लगाए जा रहे हैं।,environment,4
The local health centre does not have basic medical equipment.,healthcare,5
हमारे गांव के लोगों को समस्या हो रही है क्योंकि स्थानीय बाजार छोटे ग्रामीण उत्पादकों को पर्याप्त सहायता नहीं देता है।,rural livelihood,7
There are not enough teachers for the number of students in the school.,education,2
Rural workers are not getting timely assistance during periods of unemployment.,rural livelihood,7
The public water tank in our area is not being filled regularly.,water related,9
There is no proper sanitation facility for students.,education,2
Market ke paas bahut saare waste piles lage hue hain.,environment,4
Rural workers are not getting information about available government livelihood schemes.,rural livelihood,7
Residents in our area are facing a problem because the newly constructed road has developed cracks already.,urban development,8
The hospital premises are not cleaned regularly.,healthcare,5
बुजुर्गों और दिव्यांग पैदल यात्रियों के लिए उचित बुनियादी सुविधाएं नहीं हैं।,urban development,8
The concerned department has not resolved the issue despite repeated requests.,public administration,6
मैं इस समस्या से परेशान हूं क्योंकि मेरे क्षेत्र के सरकारी अस्पताल में पर्याप्त डॉक्टर नहीं हैं।,healthcare,5
Hospital premises ki regular cleaning nahi hoti hai.,healthcare,5
School mein teachers frequently absent rehte hain aur proper arrangement nahi hota.,education,2
I am facing an issue because garbage is not being collected from our street regularly.,environment,4
हमारे क्षेत्र का फुटपाथ व्हीलचेयर उपयोगकर्ताओं के लिए सुलभ नहीं है।,accessibility,0
Hospital mein patients ko bahut long waiting time face karna padta hai.,healthcare,5
Tap water se bad smell aa rahi hai aur ye drinking ke liye safe nahi hai.,water related,9
सरकारी वेबसाइट दृष्टिबाधित लोगों के लिए उपयोग करना बहुत कठिन है।,accessibility,0
Hospital mein proper queue management nahi hai.,healthcare,5
Teachers are frequently absent from the school without proper arrangement.,education,2
कृपया मेरी शिकायत दर्ज करें कि पीने के पानी की पाइपलाइन दूषित हो गई है।,water related,9
मुख्य सड़क पर पानी की पाइपलाइन में बड़ी लीकेज है।,water related,9
The school lacks basic science laboratory equipment.,education,2
Hospital laboratory time par reports provide nahi karti hai.,healthcare,5
सरकारी स्वास्थ्य केंद्र में दवाइयों की कमी है।,healthcare,5
Water is being wasted because of an unrepaired pipeline leak.,water related,9
The pedestrian crossing does not have an accessible signal.,accessibility,0
महत्वपूर्ण सरकारी सूचनाएं सार्वजनिक रूप से प्रदर्शित नहीं की जाती हैं।,public administration,6
There is a serious accessibility issue: the road has obstacles that make it difficult for wheelchair users to pass.,accessibility,0
The school has very limited computer facilities for students.,education,2
Hamare locality ki main road ke paas proper drainage nahi hai.,urban development,8
Hamare area ke residents ko problem ho rahi hai kyunki water supply timings irregular aur inconvenient hain.,water related,9
There are no audio announcements for visually impaired passengers.,accessibility,0
"रात में स्ट्रीट लाइटें बंद रहती हैं, जिससे सड़क असुरक्षित हो जाती है।",energy,3
Hamari street ke paas electricity transformer frequently fail ho raha hai.,energy,3
Public service centre mein proper token system nahi hai.,public administration,6
Hamare locality mein water pressure bahut low hai.,water related,9
There is no proper footpath for pedestrians on this road.,urban development,8
Pest attacks are damaging crops and there is no timely support.,agriculture,1
मैं शिकायत दर्ज करना चाहता हूं कि स्थानीय कृषि कार्यालय किसानों को उचित मार्गदर्शन नहीं दे रहा है।,agriculture,1
कचरा फेंकने वाली जगह से बहुत तेज बदबू आती है।,environment,4
हमारे क्षेत्र के खेल मैदान की तुरंत मरम्मत की जरूरत है।,urban development,8
"Agricultural fields ke around drainage system poor hai, jiski wajah se waterlogging hoti hai.",agriculture,1
The hospital does not have enough nurses to handle patients.,healthcare,5
There is a serious issue that there is no proper library facility available for students.,education,2
There is a serious agriculture-related issue: farmers in my area are not getting a reliable supply of irrigation water.,agriculture,1
हमारे क्षेत्र की मुख्य सड़क पर बड़े-बड़े गड्ढे हैं।,urban development,8
Hospital mein disabled people ke liye proper facilities nahi hain.,healthcare,5
I want to report that public buses do not provide proper wheelchair access.,accessibility,0
अस्पताल में दिव्यांग लोगों के लिए उचित सुविधाएं नहीं हैं।,healthcare,5
हमारे गांव में नहर से पानी की आपूर्ति अनियमित है।,agriculture,1
Exposed electrical wires residents ke liye safety risk create kar rahe hain.,energy,3
नगर निगम की पानी की आपूर्ति पर्याप्त नहीं होने के कारण लोगों को पानी खरीदना पड़ रहा है।,water related,9
Hamare area ka public park properly maintained nahi hai.,urban development,8
Please register my complaint that the water supply timings are irregular and inconvenient.,water related,9
पानी का टैंकर निर्धारित समय पर नहीं आता है।,water related,9
Ye ek serious energy-related issue hai: hamare locality mein frequent power cuts ho rahe hain.,energy,3
The electricity supply in our area is very unreliable.,energy,3
The damaged electrical cable near our house has not been replaced.,energy,3
हमारी गली के पास नगर निगम की पानी की पाइपलाइन लीक हो रही है।,water related,9
Hospital mein emergency services properly available nahi hain.,healthcare,5
स्कूल में शिक्षक अक्सर अनुपस्थित रहते हैं और कोई उचित व्यवस्था नहीं होती।,education,2
हमारे गांव के पास उचित कोल्ड स्टोरेज की सुविधा नहीं है।,agriculture,1
स्वास्थ्य केंद्र में मरीजों के लिए पर्याप्त बेड नहीं हैं।,healthcare,5
Hamare area ki public water tank regularly fill nahi hoti hai.,water related,9
Women in our village have limited opportunities to earn an income.,rural livelihood,7
Main road ka divider damaged hai aur unsafe hai.,urban development,8
मैं शिकायत दर्ज करना चाहता हूं कि संबंधित विभाग द्वारा आवेदन की स्थिति अपडेट नहीं की जा रही है।,public administration,6
Workers are not receiving their wages on time under the rural employment scheme.,rural livelihood,7
Please meri complaint register karein ki hamare area ki kai streetlights work nahi kar rahi hain.,energy,3
Hamare locality ka hand pump kharab hai aur repair nahi hua hai.,water related,9
The school does not have adequate desks and benches for students.,education,2
There is no proper system for collecting household hazardous waste.,environment,4
There is no proper infrastructure for elderly and disabled pedestrians.,urban development,8
There are not enough public water taps in our area.,water related,9
Hamare area mein garbage collection service regular nahi hai.,environment,4
There is a shortage of fertilizers at the local agricultural centre.,agriculture,1
हमारे क्षेत्र का सार्वजनिक पार्क ठीक से बनाए नहीं रखा जाता है।,urban development,8
यह एक गंभीर पर्यावरण संबंधी समस्या है: हमारे क्षेत्र में खुले में बहुत अधिक कचरा फेंका जा रहा है।,environment,4
Hamare area ke residents ko problem ho rahi hai kyunki hamare locality mein excessive garbage dumping ho rahi hai.,environment,4
Main road ka divider damaged hai aur unsafe hai.,urban development,8
Household hazardous waste collect karne ka proper system nahi hai.,environment,4
Government office mein proper queue management nahi hai.,public administration,6
स्कूल में छात्रों को उचित मध्याह्न भोजन नहीं मिल रहा है।,education,2
There is a serious public administration issue: the local administration has not responded to requests from residents.,public administration,6
अस्पताल में मरीजों की देखभाल के लिए पर्याप्त नर्सें नहीं हैं।,healthcare,5
"Log open mein garbage burn kar rahe hain, jiski wajah se air pollution ho raha hai.",environment,4
Local health centre mein basic medical equipment available nahi hai.,healthcare,5
किसानों को फसल बीमा का भुगतान समय पर नहीं मिल रहा है।,agriculture,1
Village ke young people ke liye affordable skill development available nahi hai.,rural livelihood,7
Please register my complaint that the drinking water pipeline is contaminated.,water related,9
Ye ek serious agriculture-related issue hai: small farmers ke liye fertilizer prices bahut high hain.,agriculture,1
Farmers ke liye agricultural machinery ki availability bahut kam hai.,agriculture,1
I am facing an issue because the electricity meter installation request has not been processed.,energy,3
पात्र छात्रों को छात्रवृत्ति की राशि अभी तक नहीं मिली है।,education,2
The local health centre does not have basic medical equipment.,healthcare,5
यह एक गंभीर कृषि संबंधी समस्या है: मेरे क्षेत्र के किसानों को सिंचाई के लिए नियमित पानी नहीं मिल रहा है।,agriculture,1
Local health centre mein basic medical equipment available nahi hai.,healthcare,5
Please meri complaint register karein ki mere area ke farmers ko irrigation ke liye regular water supply nahi mil rahi hai.,agriculture,1
हमारे क्षेत्र में रीसाइक्लिंग की उचित सुविधा उपलब्ध नहीं है।,environment,4
Rural employment scheme ke under workers ko wages time par nahi mil rahi hain.,rural livelihood,7
हमारे क्षेत्र में पानी की आपूर्ति बार-बार बाधित होती है।,water related,9
मैं शिकायत दर्ज करना चाहता हूं कि सार्वजनिक बसों में व्हीलचेयर के लिए उचित प्रवेश सुविधा नहीं है।,accessibility,0
पास की फैक्ट्रियों से निकलने वाला धुआं हमारे क्षेत्र में वायु प्रदूषण कर रहा है।,environment,4
The road near the market is too narrow and causes regular congestion.,urban development,8
ग्रामीण कारीगरों के लिए अपने उत्पाद बेचने के पर्याप्त अवसर नहीं हैं।,rural livelihood,7
The street infrastructure in our neighbourhood is poorly maintained.,urban development,8
Ek damaged electricity pole abhi tak repair nahi hua hai.,energy,3
The hospital does not have proper facilities for people with disabilities.,healthcare,5
The playground in our locality needs urgent repair.,urban development,8
School ke paas pedestrians ke liye proper crossing nahi hai.,urban development,8
Main complaint register karna chahta hoon ki mere area ke government hospital mein enough doctors nahi hain.,healthcare,5
Main complaint register karna chahta hoon ki newly constructed road par already cracks aa gaye hain.,urban development,8
छात्रों को उनकी कक्षाओं की पर्याप्त किताबें नहीं मिल रही हैं।,education,2
कीटों के हमले से फसल खराब हो रही है और समय पर सहायता नहीं मिल रही है।,agriculture,1
हमारे क्षेत्र में पर्याप्त सार्वजनिक नल नहीं हैं।,water related,9
The local administration has not addressed the shortage of livelihood opportunities in our village.,rural livelihood,7
यह एक गंभीर स्वास्थ्य संबंधी समस्या है: अस्पताल में जांच की सुविधा ठीक से काम नहीं कर रही है।,healthcare,5
Public works complete karne ke baad workers ko payment milne mein delay ho raha hai.,rural livelihood,7
स्कूल में शिक्षक अक्सर अनुपस्थित रहते हैं और कोई उचित व्यवस्था नहीं होती।,education,2
Please register my complaint that the local agriculture office is not providing proper guidance to farmers.,agriculture,1
The railway station does not have adequate accessibility facilities.,accessibility,0
नाली का पानी पीने के पानी की पाइपलाइन में मिल रहा है।,water related,9
मैं इस समस्या से परेशान हूं क्योंकि हमारे क्षेत्र में नियमित पानी की आपूर्ति नहीं होती है।,water related,9
Rural artisans ke liye apne products sell karne ke enough opportunities nahi hain.,rural livelihood,7
Hospital mein patients ko bahut long waiting time face karna padta hai.,healthcare,5
The public toilet does not have an accessible facility for disabled people.,accessibility,0
Visually impaired passengers ke liye audio announcements nahi hain.,accessibility,0
फसल खराब होने से प्रभावित किसानों को मुआवजा नहीं मिला है।,agriculture,1
Visually impaired pedestrians ke liye tactile path nahi hai.,accessibility,0
The public service counter is too high for wheelchair users.,accessibility,0
किसानों को सब्सिडी वाले बीज प्राप्त करने में परेशानी हो रही है।,agriculture,1
वोल्टेज में बार-बार उतार-चढ़ाव से घरेलू उपकरण खराब हो रहे हैं।,energy,3
Main is problem se pareshan hoon kyunki hamare locality mein regular water supply nahi hai.,water related,9
Farmers ko mandi mein crops ka fair price nahi mil raha hai.,agriculture,1
The toilets in the school are dirty and not maintained.,education,2
Farmers ko mandi mein crops ka fair price nahi mil raha hai.,agriculture,1
The school playground is damaged and cannot be used safely.,education,2
Please meri complaint register karein ki public buses mein proper wheelchair access available nahi hai.,accessibility,0
बाजार के पास की सड़क बहुत संकरी है और वहां नियमित जाम लगता है।,urban development,8
Hospital mein proper queue management nahi hai.,healthcare,5
Solar streetlights installed in our locality are not functioning.,energy,3
The education department has not resolved repeated complaints about the school.,education,2
मुख्य सड़क पर पानी की पाइपलाइन में बड़ी लीकेज है।,water related,9
कृपया मेरी शिकायत दर्ज करें कि हमारे क्षेत्र में खुले में बहुत अधिक कचरा फेंका जा रहा है।,environment,4
मैं इस समस्या से परेशान हूं क्योंकि हमारे क्षेत्र में सार्वजनिक बैठने की जगह खराब हो गई है।,urban development,8
ग्रामीण श्रमिकों को सरकारी आजीविका योजनाओं की जानकारी समय पर नहीं मिलती है।,rural livelihood,7
Main road ka divider damaged hai aur unsafe hai.,urban development,8
Bus stop par people with disabilities ke liye proper facilities nahi hain.,accessibility,0
Main is problem se pareshan hoon kyunki water supply timings irregular aur inconvenient hain.,water related,9
There is a serious accessibility issue: the public park does not have accessible paths for wheelchair users.,accessibility,0
Government service counter overcrowded hai aur management poor hai.,public administration,6
Open waste burning ki wajah se hamare area ki air quality bahut poor ho gayi hai.,environment,4
खुले में कचरा जलाने के कारण हमारे क्षेत्र की हवा बहुत खराब हो गई है।,environment,4
Repeated complaints submitted to the department have not been addressed.,public administration,6
People in our area are migrating because there are not enough local jobs.,rural livelihood,7
Rural employment scheme ke under workers ko wages time par nahi mil rahi hain.,rural livelihood,7
सड़क के किनारे निर्माण सामग्री का कचरा डाला गया है।,environment,4
There are no audio announcements for visually impaired passengers.,accessibility,0
I want to report that the hospital does not have clean drinking water for patients.,healthcare,5
Please register my complaint that the hospital does not have clean drinking water for patients.,healthcare,5
Frequent voltage fluctuations ki wajah se household appliances damage ho rahe hain.,energy,3
There is a loose electricity wire hanging near the road.,energy,3
There is a serious water-related issue: the community water tank is damaged and needs repair.,water related,9
Local civic facility mein adequate accessibility support available nahi hai.,accessibility,0
Please meri complaint register karein ki small farmers ke liye fertilizer prices bahut high hain.,agriculture,1
Please register my complaint that public buses do not provide proper wheelchair access.,accessibility,0
Hospital premises ki regular cleaning nahi hoti hai.,healthcare,5
Government health centre mein medicines ki shortage hai.,healthcare,5
हमारे क्षेत्र का ट्रांसफॉर्मर ओवरलोड है और बार-बार ट्रिप करता है।,energy,3
I want to report that the government office in our area does not provide services on time.,public administration,6
Ye ek serious problem hai ki students ke liye school mein proper library facility nahi hai.,education,2
The divider on the main road is damaged and unsafe.,urban development,8
सरकारी कार्यालय में सेवाओं का अपडेटेड समय प्रदर्शित नहीं किया गया है।,public administration,6
किसानों को फसल बीमा का भुगतान समय पर नहीं मिल रहा है।,agriculture,1
Women entrepreneurs in our village are not receiving proper institutional support.,rural livelihood,7
Drainage water drinking water pipeline mein mix ho raha hai.,water related,9
कृपया मेरी शिकायत दर्ज करें कि सार्वजनिक बसों में व्हीलचेयर के लिए उचित प्रवेश सुविधा नहीं है।,accessibility,0
Patients ko woh medicines bahar se buy karni padti hain jo hospital mein available honi chahiye.,healthcare,5
Please meri complaint register karein ki residents ko government services ke baare mein clear information nahi milti.,public administration,6
Public toilet mein disabled people ke liye proper accessible facility nahi hai.,accessibility,0
यह एक गंभीर सुलभता संबंधी समस्या है: सार्वजनिक पार्क में व्हीलचेयर उपयोगकर्ताओं के लिए सुलभ रास्ते नहीं हैं।,accessibility,0
स्कूल में छात्रों के लिए कंप्यूटर की सुविधा बहुत सीमित है।,education,2
नगर निगम की पानी की आपूर्ति पर्याप्त नहीं होने के कारण लोगों को पानी खरीदना पड़ रहा है।,water related,9
हमारे क्षेत्र के लोगों को समस्या हो रही है क्योंकि संबंधित विभाग द्वारा आवेदन की स्थिति अपडेट नहीं की जा रही है।,public administration,6
कृपया मेरी शिकायत दर्ज करें कि नई बनी सड़क पर पहले से ही दरारें पड़ गई हैं।,urban development,8
The air quality has become very poor because of open waste burning.,environment,4
Hamare locality ka footpath broken hai aur use karna difficult hai.,urban development,8
Please register my complaint that the electricity meter installation request has not been processed.,energy,3
कृपया मेरी शिकायत दर्ज करें कि सार्वजनिक पार्क में व्हीलचेयर उपयोगकर्ताओं के लिए सुलभ रास्ते नहीं हैं।,accessibility,0
The boundary wall of the school is damaged and creates a safety concern.,education,2
हमारे समुदाय में बिजली का कनेक्शन पर्याप्त नहीं है।,energy,3
Local park mein litter aur waste bahut zyada pada hua hai.,environment,4
Local self-help groups ko timely financial support nahi mil raha hai.,rural livelihood,7
सार्वजनिक सेवा काउंटर व्हीलचेयर उपयोगकर्ताओं के लिए बहुत ऊंचा है।,accessibility,0
